legal_code,region_group,weight,true_share,base_share,area_share,type_area_share,hist_share,true_grade,base_grade,area_grade,type_area_grade,quantile_grade,hist_grade
2811012300,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
3014011800,지방,268.51666666666665,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4122010100,수도권(경기·인천),80.75,0.001760342009304665,0.0003772161448509996,0.0003772161448509996,0.0003772161448509996,0.001760342009304665,D,D,D,D,D,D
4136025625,수도권(경기·인천),80.75,0.30666666666666664,0.008888888888888889,0.3377777777777778,0.3377777777777778,0.30666666666666664,C,D,C,C,C,C
4139012000,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4145010800,수도권(경기·인천),80.75,0.34140969162995594,0.3931718061674009,0.28193832599118945,0.2879955947136564,0.34140969162995594,C,C,C,C,C,C
4145011400,수도권(경기·인천),80.75,0.9507042253521126,0.9929577464788732,0.9929577464788732,0.9507042253521126,0.9507042253521126,A,A,A,A,A,A
4150035025,수도권(경기·인천),80.75,0.006644518272425249,0.0,0.0,0.0,0.006644518272425249,D,D,D,D,D,D
4155013000,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4155025026,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4159011700,수도권(경기·인천),80.75,0.0009074410163339383,0.0009074410163339383,0.0009074410163339383,0.0009074410163339383,0.0009074410163339383,D,D,D,D,D,D
4161033021,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4380025027,지방,268.51666666666665,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4611016400,지방,234.95208333333332,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4711310900,지방,234.95208333333332,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4728010900,지방,234.95208333333332,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4817012600,지방,234.95208333333332,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4817040022,지방,234.95208333333332,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4874025022,지방,268.51666666666665,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
5011012900,지방,234.95208333333332,0.2277992277992278,0.0011031439602868175,0.0011031439602868175,0.10314396028681742,0.2277992277992278,D,D,D,D,D,D
5218010600,지방,268.51666666666665,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
1111010900,서울,28.214583333333334,0.10665451230628988,0.09571558796718323,0.12397447584320875,0.11941659070191431,0.10665451230628988,D,D,D,D,D,D
1111018100,서울,28.214583333333334,0.0036798528058877645,0.0009199632014719411,0.0009199632014719411,0.0009199632014719411,0.0036798528058877645,D,D,D,D,D,D
1114016200,서울,28.214583333333334,0.12602510460251046,0.10845188284518828,0.08635983263598326,0.08,0.12602510460251046,D,D,D,D,D,D
1117013000,서울,27.241666666666667,0.6844636844636844,0.6084656084656085,0.7032227032227032,0.7051467051467052,0.6844636844636844,B,B,B,B,B,B
1123010500,서울,28.214583333333334,0.15856394913986538,0.31787584143605085,0.03216155572176515,0.0493642483171279,0.15856394913986538,D,C,D,D,D,D
1126010100,서울,28.214583333333334,0.028358480276313398,0.06665454765800158,0.00036357025995273584,0.00024238017330182392,0.028358480276313398,D,D,D,D,D,D
1141011000,서울,27.241666666666667,0.5486586007364544,0.640189374013677,0.7322461862177801,0.6438716465018411,0.5486586007364544,B,B,B,B,B,B
1144012000,서울,27.241666666666667,0.09288858003242993,0.13829047949965254,0.0581422283993514,0.057678943710910355,0.09288858003242993,D,D,D,D,D,D
1153010900,서울,27.241666666666667,0.1250251256281407,0.001206030150753769,0.0,0.22613065326633167,0.1250251256281407,D,D,D,D,D,D
1171010300,서울,28.214583333333334,0.07432432432432433,0.06621621621621622,0.03333333333333333,0.0481981981981982,0.07432432432432433,D,D,D,D,D,D
2726010100,지방,234.95208333333332,0.1619047619047619,0.10303030303030303,0.11948051948051948,0.09610389610389611,0.1619047619047619,D,D,D,D,D,D
