legal_code,legal_name,region_group,total_units,frame_population_dongs,frame_screened_dongs,frame_sampling_probability,frame_weight
4128710500,경기도 고양시 일산서구 덕이동,수도권(경기·인천),20534,2280,120,0.05263157894736842,19.0
4148010900,경기도 파주시 다율동,수도권(경기·인천),20588,2280,120,0.05263157894736842,19.0
4159011700,경기도 화성시 병점동,수도권(경기·인천),20912,2280,120,0.05263157894736842,19.0
4165025021,경기도 포천시 소흘읍 송우리,수도권(경기·인천),21558,2280,120,0.05263157894736842,19.0
4127310700,경기도 안산시 단원구 초지동,수도권(경기·인천),30782,2280,120,0.05263157894736842,19.0
4122010100,경기도 평택시 서정동,수도권(경기·인천),31446,2280,120,0.05263157894736842,19.0
4145010800,경기도 하남시 덕풍동,수도권(경기·인천),31724,2280,120,0.05263157894736842,19.0
4121010400,경기도 광명시 소하동,수도권(경기·인천),36306,2280,120,0.05263157894736842,19.0
2818510300,인천광역시 연수구 연수동,수도권(경기·인천),37768,2280,120,0.05263157894736842,19.0
4117110200,경기도 안양시 만안구 석수동,수도권(경기·인천),40982,2280,120,0.05263157894736842,19.0
2820010300,인천광역시 남동구 만수동,수도권(경기·인천),92188,2280,120,0.05263157894736842,19.0
4817040022,경상남도 진주시 대곡면 광석리,지방,106,16111,120,0.007448327229842964,134.25833333333333
2711011000,대구광역시 중구 상서동,지방,168,16111,120,0.007448327229842964,134.25833333333333
4827036023,경상남도 밀양시 상남면 연금리,지방,200,16111,120,0.007448327229842964,134.25833333333333
3611025022,세종특별자치시 조치원읍 상리,지방,398,16111,120,0.007448327229842964,134.25833333333333
4728010900,경상북도 문경시 공평동,지방,408,16111,120,0.007448327229842964,134.25833333333333
5117012600,강원특별자치도 동해시 이로동,지방,592,16111,120,0.007448327229842964,134.25833333333333
4711310900,경상북도 포항시 북구 대신동,지방,1158,16111,120,0.007448327229842964,134.25833333333333
5218010600,전북특별자치도 정읍시 농소동,지방,1442,16111,120,0.007448327229842964,134.25833333333333
4874025022,경상남도 창녕군 창녕읍 교리,지방,1506,16111,120,0.007448327229842964,134.25833333333333
4380025027,충청북도 단양군 단양읍 상진리,지방,3130,16111,120,0.007448327229842964,134.25833333333333
4822034027,경상남도 통영시 광도면 안정리,지방,3190,16111,120,0.007448327229842964,134.25833333333333
3014011800,대전광역시 중구 사정동,지방,3530,16111,120,0.007448327229842964,134.25833333333333
4421034029,충청남도 서산시 지곡면 무장리,지방,3960,16111,120,0.007448327229842964,134.25833333333333
4729025022,경상북도 경산시 하양읍 동서리,지방,4832,16111,120,0.007448327229842964,134.25833333333333
2771038021,대구광역시 달성군 구지면 창리,지방,5054,16111,120,0.007448327229842964,134.25833333333333
5011012900,제주특별자치도 제주시 도남동,지방,9274,16111,120,0.007448327229842964,134.25833333333333
2641010400,부산광역시 금정구 남산동,지방,16666,16111,120,0.007448327229842964,134.25833333333333
2635010100,부산광역시 해운대구 반송동,지방,19972,16111,120,0.007448327229842964,134.25833333333333
5113010600,강원특별자치도 원주시 명륜동,지방,20808,16111,120,0.007448327229842964,134.25833333333333
4817012600,경상남도 진주시 평거동,지방,24154,16111,120,0.007448327229842964,134.25833333333333
4611016400,전라남도 목포시 옥암동,지방,35506,16111,120,0.007448327229842964,134.25833333333333
2726010100,대구광역시 수성구 범어동,지방,40204,16111,120,0.007448327229842964,134.25833333333333
