legal_code,status,legal_name,last_token,region_group,frame_population_dongs,frame_screened_dongs,frame_sampling_probability,frame_weight,total_units,screen_ok,screen_error
1129012100,존재,서울특별시 성북구 안암동1가,안암동1가,서울,467,120,0.2569593147751606,3.8916666666666666,1474,True,
1129012700,존재,서울특별시 성북구 보문동5가,보문동5가,서울,467,120,0.2569593147751606,3.8916666666666666,442,True,
1129013100,존재,서울특별시 성북구 보문동2가,보문동2가,서울,467,120,0.2569593147751606,3.8916666666666666,668,True,
1129013400,존재,서울특별시 성북구 길음동,길음동,서울,467,120,0.2569593147751606,3.8916666666666666,33654,True,
1129013700,존재,서울특별시 성북구 상월곡동,상월곡동,서울,467,120,0.2569593147751606,3.8916666666666666,3988,True,
1129013900,존재,서울특별시 성북구 석관동,석관동,서울,467,120,0.2569593147751606,3.8916666666666666,15880,True,
1130510400,존재,서울특별시 강북구 우이동,우이동,서울,467,120,0.2569593147751606,3.8916666666666666,7150,True,
1132010500,존재,서울특별시 도봉구 쌍문동,쌍문동,서울,467,120,0.2569593147751606,3.8916666666666666,49144,True,
1132010600,존재,서울특별시 도봉구 방학동,방학동,서울,467,120,0.2569593147751606,3.8916666666666666,44382,True,
1132010700,존재,서울특별시 도봉구 창동,창동,서울,467,120,0.2569593147751606,3.8916666666666666,77190,True,
1135010500,존재,서울특별시 노원구 상계동,상계동,서울,467,120,0.2569593147751606,3.8916666666666666,139969,True,
1135010600,존재,서울특별시 노원구 중계동,중계동,서울,467,120,0.2569593147751606,3.8916666666666666,74058,True,
1138010600,존재,서울특별시 은평구 대조동,대조동,서울,467,120,0.2569593147751606,3.8916666666666666,16662,True,
1138011000,존재,서울특별시 은평구 증산동,증산동,서울,467,120,0.2569593147751606,3.8916666666666666,10812,True,
1141010600,존재,서울특별시 서대문구 천연동,천연동,서울,467,120,0.2569593147751606,3.8916666666666666,2578,True,
1141011000,존재,서울특별시 서대문구 북아현동,북아현동,서울,467,120,0.2569593147751606,3.8916666666666666,14556,True,
1141011500,존재,서울특별시 서대문구 봉원동,봉원동,서울,467,120,0.2569593147751606,3.8916666666666666,20,True,
1141012000,존재,서울특별시 서대문구 남가좌동,남가좌동,서울,467,120,0.2569593147751606,3.8916666666666666,26348,True,
1144010400,존재,서울특별시 마포구 도화동,도화동,서울,467,120,0.2569593147751606,3.8916666666666666,11936,True,
1144010500,존재,서울특별시 마포구 용강동,용강동,서울,467,120,0.2569593147751606,3.8916666666666666,4696,True,
1144011100,존재,서울특별시 마포구 신수동,신수동,서울,467,120,0.2569593147751606,3.8916666666666666,8630,True,
1144012000,존재,서울특별시 마포구 서교동,서교동,서울,467,120,0.2569593147751606,3.8916666666666666,13246,True,
1144012600,존재,서울특별시 마포구 중동,중동,서울,467,120,0.2569593147751606,3.8916666666666666,6046,True,
1147010100,존재,서울특별시 양천구 신정동,신정동,서울,467,120,0.2569593147751606,3.8916666666666666,110864,True,
1147010300,존재,서울특별시 양천구 신월동,신월동,서울,467,120,0.2569593147751606,3.8916666666666666,77010,True,
1150010400,존재,서울특별시 강서구 가양동,가양동,서울,467,120,0.2569593147751606,3.8916666666666666,40138,True,
1150010500,존재,서울특별시 강서구 마곡동,마곡동,서울,467,120,0.2569593147751606,3.8916666666666666,32144,True,
1150011200,존재,서울특별시 강서구 오곡동,오곡동,서울,467,120,0.2569593147751606,3.8916666666666666,0,True,
1153010600,존재,서울특별시 구로구 고척동,고척동,서울,467,120,0.2569593147751606,3.8916666666666666,32182,True,
1153010700,존재,서울특별시 구로구 개봉동,개봉동,서울,467,120,0.2569593147751606,3.8916666666666666,56175,True,
1153010900,존재,서울특별시 구로구 궁동,궁동,서울,467,120,0.2569593147751606,3.8916666666666666,10898,True,
1156010100,존재,서울특별시 영등포구 영등포동,영등포동,서울,467,120,0.2569593147751606,3.8916666666666666,7570,True,
1156010600,존재,서울특별시 영등포구 영등포동5가,영등포동5가,서울,467,120,0.2569593147751606,3.8916666666666666,568,True,
1156010700,존재,서울특별시 영등포구 영등포동6가,영등포동6가,서울,467,120,0.2569593147751606,3.8916666666666666,694,True,
1156011100,존재,서울특별시 영등포구 당산동1가,당산동1가,서울,467,120,0.2569593147751606,3.8916666666666666,2839,True,
1156011200,존재,서울특별시 영등포구 당산동2가,당산동2가,서울,467,120,0.2569593147751606,3.8916666666666666,3738,True,
1156011400,존재,서울특별시 영등포구 당산동4가,당산동4가,서울,467,120,0.2569593147751606,3.8916666666666666,6912,True,
1156012000,존재,서울특별시 영등포구 문래동2가,문래동2가,서울,467,120,0.2569593147751606,3.8916666666666666,780,True,
1156013000,존재,서울특별시 영등포구 양평동6가,양평동6가,서울,467,120,0.2569593147751606,3.8916666666666666,2824,True,
1156013200,존재,서울특별시 영등포구 신길동,신길동,서울,467,120,0.2569593147751606,3.8916666666666666,50932,True,
1159010100,존재,서울특별시 동작구 노량진동,노량진동,서울,467,120,0.2569593147751606,3.8916666666666666,13070,True,
1159010400,존재,서울특별시 동작구 본동,본동,서울,467,120,0.2569593147751606,3.8916666666666666,6282,True,
1165010900,존재,서울특별시 서초구 내곡동,내곡동,서울,467,120,0.2569593147751606,3.8916666666666666,4738,True,
1168010400,존재,서울특별시 강남구 청담동,청담동,서울,467,120,0.2569593147751606,3.8916666666666666,16590,True,
1171010300,존재,서울특별시 송파구 풍납동,풍납동,서울,467,120,0.2569593147751606,3.8916666666666666,18698,True,
1171010900,존재,서울특별시 송파구 장지동,장지동,서울,467,120,0.2569593147751606,3.8916666666666666,26922,True,
